company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
Zupee,Consumer,Series B,121.0,Asia,0,-0.3833333333333333,-2.4833333333333334,once,small
Opendoor,Real Estate,Post-IPO,1900.0,North America,2,2.605263157894737,-1.526315789473684,four_plus,large
OutSystems,Product,Series G,802.0,North America,1,-0.19047619047619047,-1.9523809523809526,once,large
PartnerStack,Sales,Series B,36.0,North America,2,-0.41666666666666674,-0.4166666666666665,once,tiny
Finleap Connect,Finance,Series A,22.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,tiny
Mobile Premier League,Consumer,Series E,375.0,Asia,3,-0.3833333333333333,0.5166666666666666,once,medium
RealSelf,Healthcare,Series B,42.0,North America,3,0.7395833333333333,0.40625,twice,tiny
Help.com,Support,Seed,6.0,North America,5,-0.5294117647058822,2.0588235294117645,once,tiny
TomTom,Other,Post-IPO,430.0,Europe,0,-0.36986301369863006,-2.0684931506849313,once,medium
PerkSpot,HR,Private Equity,50.0,North America,5,-0.2058823529411764,1.7647058823529411,once,tiny
Xerox,Hardware,Post-IPO,27200.0,North America,1,-0.16666666666666674,-0.33333333333333326,once,large
StreamElements,Media,Series B,111.0,Asia,2,0.5641025641025641,-0.6666666666666665,twice,small
Unison,Finance,Series B,40.0,North America,5,-0.2901234567901234,1.9938271604938271,once,tiny
Evolve,Travel,Series F,224.0,North America,2,0.5666666666666667,-1.7000000000000002,twice,medium
Point,Real Estate,Series C,149.0,North America,2,-0.39473684210526305,-1.526315789473684,once,small
WayCool,Food,Unknown,363.0,Asia,2,-0.3787878787878789,-0.9090909090909092,once,medium
Top Hat,Education,Series E,234.0,North America,2,1.4722222222222223,-0.8611111111111112,thrice,medium
Loopio,Sales,Series A,11.0,North America,5,-0.41666666666666674,2.5833333333333335,once,tiny
Nate,Retail,Series A,47.0,North America,3,-0.32978723404255317,0.1170212765957448,once,tiny
AtoB,Finance,Series B,177.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,medium
Buy.com / Rakuten,Retail,Acquired,42.4,North America,5,-0.32978723404255317,2.117021276595745,once,tiny
Coursera,Education,Post-IPO,458.0,North America,1,-0.5277777777777777,-1.8611111111111112,once,medium
Waze,Transportation,Acquired,67.0,North America,5,-0.45833333333333326,2.0555555555555554,once,small
Pocketmath,Marketing,Unknown,20.0,Asia,4,-0.2857142857142858,0.8181818181818183,once,tiny
Introhive,Sales,Series C,125.0,North America,3,-0.41666666666666674,0.5833333333333335,once,small
RiseUp,Finance,Series B,30.0,Asia,1,-0.2901234567901234,-2.006172839506173,once,tiny
Outschool,Education,Series D,240.0,North America,3,0.4722222222222223,0.13888888888888884,twice,medium
Optimizely,Marketing,Series D,251.2,North America,5,-0.2857142857142858,1.8181818181818183,once,medium
Notarize,Legal,Series D,213.0,North America,3,-0.1428571428571428,0.4285714285714284,once,medium
Deepgram,AI,Series B,86.0,North America,2,-0.09090909090909083,1.3636363636363638,once,small
Astra,Aerospace,Unknown,100.0,North America,5,-0.125,2.625,once,small
Brex,Finance,Series D,1500.0,North America,5,1.7098765432098766,1.9938271604938271,thrice,large
Springbig,Sales,Post-IPO,32.0,North America,3,-0.41666666666666674,0.5833333333333335,once,tiny
Perion,Marketing,Post-IPO,76.0,Asia,3,0.7142857142857142,-0.18181818181818166,twice,small
Tilting Point,Consumer,Unknown,235.0,North America,2,-0.3833333333333333,-0.4833333333333334,once,medium
Away,Retail,Series D,181.0,North America,2,0.6702127659574468,-0.8829787234042552,twice,medium
GumGum,Marketing,Series D,58.0,North America,5,-0.2857142857142858,1.8181818181818183,once,tiny
Ladder Life,Finance,Series C,94.0,North America,5,-0.2901234567901234,1.9938271604938271,once,small
OutboundEngine,Marketing,Series C,48.0,North America,5,-0.2857142857142858,1.8181818181818183,once,tiny
GetYourGuide,Travel,Series E,656.0,Europe,5,-0.43333333333333335,1.2999999999999998,once,large
Pipl,Security,Unknown,19.0,North America,3,-0.21818181818181825,0.8363636363636364,once,tiny
Lazada Group ,Retail,Acquired,7200.0,Asia,1,-0.32978723404255317,-1.8829787234042552,once,large
Paper,Education,Series D,389.0,North America,2,2.4722222222222223,-0.8611111111111112,four_plus,medium
Mural,Product,Series C,192.0,North America,3,-0.19047619047619047,0.04761904761904745,once,medium
Tekion,Other,Series D,435.0,Asia,2,-0.36986301369863006,-0.06849315068493134,once,medium
Textio,Recruiting,Unknown,42.0,North America,2,1.5294117647058822,-1.6470588235294117,thrice,tiny
Workhuman,HR,Unknown,131.0,Europe,2,-0.2058823529411764,-1.2352941176470589,once,small
Kiwi.com,Travel,Unknown,107.0,Europe,1,-0.43333333333333335,-2.7,once,small
DataRobot,Data,Series G,1000.0,North America,3,-0.2195121951219512,0.04878048780487809,once,large
Care/of,Healthcare,Acquired,83.0,North America,1,-0.26041666666666674,-1.59375,once,small
Atera,Other,Series B,102.0,Asia,1,-0.36986301369863006,-1.0684931506849313,once,small
Rhumbix,Construction,Series B,35.0,North America,5,-0.5,1.0,once,tiny
When I Work,HR,Series B,24.0,North America,5,-0.2058823529411764,1.7647058823529411,once,tiny
Sage Therapeutics,Healthcare,Post-IPO,438.0,North America,5,-0.26041666666666674,2.40625,once,medium
Vacasa,Travel,Post-IPO,834.0,North America,1,1.5666666666666667,-2.7,thrice,large
Bench,Finance,Series B,109.0,North America,5,0.7098765432098766,1.9938271604938271,twice,small
KoinWorks,Finance,Unknown,180.0,Asia,3,-0.2901234567901234,-0.006172839506172867,once,medium
Innovaccer,Healthcare,Series E,379.0,North America,3,0.7395833333333333,0.40625,twice,medium
Pollen,Travel,Series B,238.0,Europe,5,0.5666666666666667,1.2999999999999998,twice,medium
Slite,Other,Series A,15.0,Europe,2,-0.36986301369863006,-0.06849315068493134,once,tiny
TCR2,Healthcare,Post-IPO,173.0,North America,3,-0.26041666666666674,0.40625,once,medium
Pavilion Data,Infrastructure,Series D,103.0,North America,3,-0.4375,-0.1875,once,small
Thread,Retail,Acquired,40.0,Europe,3,-0.32978723404255317,0.1170212765957448,once,tiny
Cohere,AI,Series D,935.0,North America,1,-0.09090909090909083,0.36363636363636365,once,large
Emotive,Marketing,Series B,78.0,North America,3,-0.2857142857142858,-0.18181818181818166,once,small
Sight Diagnostics,Healthcare,Series D,124.0,Asia,1,-0.26041666666666674,-1.59375,once,small
Criteo,Marketing,Post-IPO,61.0,Europe,1,-0.2857142857142858,-2.1818181818181817,once,tiny
CarGurus,Transportation,Post-IPO,1.0,North America,5,-0.45833333333333326,2.0555555555555554,once,tiny
Numbrs,Finance,Series B,78.0,Europe,5,-0.2901234567901234,1.9938271604938271,once,small
TaxBit,Crypto,Unknown,253.0,North America,2,-0.26190476190476186,-0.2857142857142856,once,medium
TheSkimm,Media,Series C,28.0,North America,2,1.564102564102564,-0.6666666666666665,thrice,tiny
Dragos,Security,Series D,364.0,North America,2,-0.21818181818181825,-0.16363636363636358,once,medium
DraftKings,Consumer,Post-IPO,719.0,North America,2,-0.3833333333333333,-0.4833333333333334,once,large
Sprinklr,Support,Post-IPO,429.0,North America,1,1.4705882352941178,-1.9411764705882355,thrice,medium
Yojak,Construction,Seed,3.0,Asia,3,-0.5,-1.0,once,tiny
Skyscanner,Travel,Acquired,197.2,Europe,5,-0.43333333333333335,1.2999999999999998,once,medium
FullStory,Marketing,Unknown,197.0,North America,1,-0.2857142857142858,-2.1818181818181817,once,medium
Bestow,Finance,Series C,137.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,small
AEye,Transportation,Post-IPO,314.0,North America,2,-0.45833333333333326,-0.9444444444444446,once,medium
Happay,Finance,Acquired,21.0,Asia,2,-0.2901234567901234,-1.0061728395061729,once,tiny
The Sill,Retail,Series A,7.0,North America,5,-0.32978723404255317,2.117021276595745,once,tiny
The Athletic,Media,Series D,139.0,North America,5,-0.4358974358974359,2.3333333333333335,once,small
8x8,Support,Post-IPO,253.0,North America,3,0.47058823529411775,0.0588235294117645,twice,medium
Headspace,Healthcare,Unknown,216.0,North America,2,0.7395833333333333,-0.59375,twice,medium
6sense,Sales,Series E,426.0,North America,3,-0.41666666666666674,0.5833333333333335,once,medium
Aqua Security,Security,Series E,325.0,North America,1,1.7818181818181817,-1.1636363636363636,thrice,medium
Jetty,Finance,Series B,40.0,North America,5,-0.2901234567901234,1.9938271604938271,once,tiny
Brave Care,Healthcare,Series B,42.0,North America,3,-0.26041666666666674,0.40625,once,tiny
iRobot,Consumer,Acquired,30.0,North America,3,2.6166666666666667,0.5166666666666666,four_plus,tiny
Sophos,Security,Acquired,125.0,Europe,2,-0.21818181818181825,-0.16363636363636358,once,small
Rapid,Finance,Series D,272.0,North America,2,0.7098765432098766,-1.0061728395061729,twice,medium
Capitolis,Finance,Series D,281.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,medium
Albert,Finance,Series C,175.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,medium
NYDIG,Crypto,Private Equity,1400.0,North America,3,-0.26190476190476186,0.7142857142857144,once,large
MindBody,Fitness,Post-IPO,114.0,North America,5,0.6923076923076923,1.2307692307692308,twice,small
GoodRx,Healthcare,Post-IPO,910.0,North America,3,-0.26041666666666674,0.40625,once,large
iPrice Group,Retail,Unknown,26.0,Asia,3,-0.32978723404255317,0.1170212765957448,once,tiny
Klue,Sales,Series B,83.0,North America,0,-0.41666666666666674,-2.4166666666666665,once,small
Oye Rickshaw,Transportation,Unknown,13.0,Asia,3,-0.45833333333333326,0.05555555555555536,once,tiny
Captiv8,Marketing,Unknown,4.0,North America,2,-0.2857142857142858,-1.1818181818181817,once,tiny
Walnut,Sales,Series B,56.0,North America,1,-0.41666666666666674,-1.4166666666666665,once,tiny
Airtable,Product,Series F,1400.0,North America,2,0.8095238095238095,-0.9523809523809526,twice,large
SiFive,Hardware,Series F,365.0,North America,2,-0.16666666666666674,0.6666666666666667,once,medium
Career Karma,Education,Series B,51.0,North America,3,-0.5277777777777777,0.13888888888888884,once,tiny
NuScale Power,Energy,Post-IPO,470.0,North America,1,-0.23076923076923084,-0.6923076923076923,once,medium
Personio,HR,Series E,724.0,Europe,1,0.7941176470588236,-2.235294117647059,twice,large
Gorillas,Food,Series C,1300.0,Europe,3,-0.3787878787878789,0.09090909090909083,once,large
Shopify,Retail,Post-IPO,122.0,North America,3,0.6702127659574468,0.1170212765957448,twice,small
Zego,Finance,Series C,202.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,medium
Amount,Finance,Unknown,283.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,medium
Convene,Real Estate,Series D,280.0,North America,5,-0.39473684210526305,1.473684210526316,once,medium
Noom,Healthcare,Series F,657.0,North America,3,-0.26041666666666674,0.40625,once,large
Argo AI,Transportation,Unknown,3600.0,North America,3,-0.45833333333333326,0.05555555555555536,once,large
Happy Money,Finance,Series D,191.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,medium
Calm,Healthcare,Series C,218.0,North America,3,-0.26041666666666674,0.40625,once,medium
Nomad Health,Healthcare,Unknown,218.0,North America,2,-0.26041666666666674,-0.59375,once,medium
Simple Feast,Food,Unknown,173.0,Europe,3,-0.3787878787878789,0.09090909090909083,once,medium
Crayon,Marketing,Series A,16.0,North America,5,-0.2857142857142858,1.8181818181818183,once,tiny
Highsnobiety,Media,Acquired,8.0,Europe,2,0.5641025641025641,-0.6666666666666665,twice,tiny
Taboola,Marketing,Post-IPO,445.0,North America,3,-0.2857142857142858,-0.18181818181818166,once,medium
Otovo,Energy,Post-IPO,247.0,Europe,1,-0.23076923076923084,-0.6923076923076923,once,medium
Verily,Healthcare,Subsidiary,3500.0,North America,2,-0.26041666666666674,-0.59375,once,large
Veriff,Security,Series C,192.0,Europe,2,1.7818181818181817,-0.16363636363636358,thrice,medium
Aurora Solar,Energy,Series D,523.0,North America,1,-0.23076923076923084,-0.6923076923076923,once,large
Innoviz,Transportation,Post-IPO,547.0,Asia,1,-0.45833333333333326,-1.9444444444444446,once,large
Blue Origin,Aerospace,Unknown,167.0,North America,0,-0.125,-2.375,once,small
Kissflow,Other,Unknown,1.0,Asia,1,-0.36986301369863006,-1.0684931506849313,once,tiny
Unstoppable Domains,Crypto,Series B,7.0,North America,3,-0.26190476190476186,0.7142857142857144,once,tiny
Acko,Finance,Unknown,143.0,Asia,5,-0.2901234567901234,1.9938271604938271,once,small
Cart.com,Retail,Unknown,383.0,North America,2,-0.32978723404255317,-0.8829787234042552,once,medium
Avidbots,Hardware,Series C,106.0,North America,2,-0.16666666666666674,0.6666666666666667,once,small
Panda Squad,Consumer,Seed,1.0,North America,5,-0.3833333333333333,2.5166666666666666,once,tiny
StockX,Retail,Series C,690.0,North America,3,0.6702127659574468,0.1170212765957448,twice,large
Yahoo,Consumer,Acquired,6.0,North America,2,-0.3833333333333333,-0.4833333333333334,once,tiny
Zulily,Retail,Acquired,194.0,North America,2,-0.32978723404255317,-0.8829787234042552,once,medium
Inmobi,Marketing,Unknown,320.0,Asia,1,-0.2857142857142858,-2.1818181818181817,once,medium
Maven Clinic,Healthcare,Series F,417.0,North America,1,-0.26041666666666674,-1.59375,once,medium
Axonius,Security,Series E,865.0,North America,0,-0.21818181818181825,-2.1636363636363636,once,large
Latch,Security,Post-IPO,342.0,North America,3,1.7818181818181817,0.8363636363636364,thrice,medium
Teampay,Finance,Series B,79.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,small
Tails.com,Retail,Series A,5.0,Europe,1,-0.32978723404255317,-1.8829787234042552,once,tiny
Embark Trucks,Transportation,Post-IPO,317.0,North America,2,-0.45833333333333326,-0.9444444444444446,once,medium
Carousell,Retail,Private Equity,375.0,Asia,1,0.6702127659574468,-1.8829787234042552,twice,medium
PayJoy,Finance,Series B,71.0,North America,5,-0.2901234567901234,1.9938271604938271,once,small
FNZ,Finance,Private Equity,1400.0,Europe,2,-0.2901234567901234,-1.0061728395061729,once,large
Metromile,Finance,Acquired,510.0,North America,3,0.7098765432098766,-0.006172839506172867,twice,large
Gather,Consumer,Series B,76.0,North America,3,-0.3833333333333333,0.5166666666666666,once,small
Consider.co,Other,Seed,5.0,North America,5,-0.36986301369863006,2.9315068493150687,once,tiny
MasterClass,Education,Series E,461.0,North America,3,-0.5277777777777777,0.13888888888888884,once,medium
ZipRecruiter,Recruiting,Post-IPO,769.0,North America,2,0.5294117647058822,-1.6470588235294117,twice,large
Paxos,Crypto,Unknown,543.0,North America,1,-0.26190476190476186,-1.2857142857142856,once,large
Welkin Health,Healthcare,Series B,29.0,North America,5,-0.26041666666666674,2.40625,once,tiny
FarEye,Logistics,Series E,150.0,Asia,3,-0.19999999999999996,0.0,once,small
Culture Trip,Media,Series B,102.0,Europe,5,-0.4358974358974359,2.3333333333333335,once,small
Packable,Retail,Unknown,472.0,North America,3,-0.32978723404255317,0.1170212765957448,once,large
B8ta,Retail,Series C,88.0,North America,5,-0.32978723404255317,2.117021276595745,once,small
Navan,Finance,Unknown,2200.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,large
nCino,Finance,Post-IPO,1100.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,large
Zencity,Other,Unknown,51.0,Asia,3,-0.36986301369863006,0.9315068493150687,once,tiny
Bishop Fox,Security,Series B,146.0,North America,2,-0.21818181818181825,-0.16363636363636358,once,small
Flywheel Sports,Fitness,Acquired,120.0,North America,5,-0.3076923076923077,1.2307692307692308,once,small
Bullish,Crypto,Unknown,300.0,Asia,3,-0.26190476190476186,0.7142857142857144,once,medium
Cadre,Real Estate,Series C,133.0,North America,5,-0.39473684210526305,1.473684210526316,once,small
Hologram,Infrastructure,Series B,82.0,North America,3,-0.4375,-0.1875,once,small
JD.ID,Retail,Post-IPO,5100.0,Asia,3,-0.32978723404255317,0.1170212765957448,once,large
Tabnine,AI,Series B,57.0,Asia,0,-0.09090909090909083,-0.6363636363636364,once,tiny
DoorDash,Food,Post-IPO,2500.0,North America,3,-0.3787878787878789,0.09090909090909083,once,large
Pendo,Product,Series F,469.0,North America,3,0.8095238095238095,0.04761904761904745,twice,medium
Fifth Season,Food,Series B,35.0,North America,3,-0.3787878787878789,0.09090909090909083,once,tiny
NanoString Technologies,Healthcare,Post-IPO,826.0,North America,1,-0.26041666666666674,-1.59375,once,large
TRM Labs,Crypto,Series B,149.0,North America,2,-0.26190476190476186,-0.2857142857142856,once,small
Skillz,Consumer,Post-IPO,287.0,North America,3,-0.3833333333333333,0.5166666666666666,once,medium
Replit,Product,Unknown,222.0,North America,1,-0.19047619047619047,-1.9523809523809526,once,medium
Block,Finance,Post-IPO,150.0,North America,0,0.7098765432098766,-3.006172839506173,twice,small
Everlane,Retail,Unknown,176.0,North America,2,-0.32978723404255317,-0.8829787234042552,once,medium
Aleph Farms,Food,Unknown,119.0,Asia,1,-0.3787878787878789,-1.9090909090909092,once,small
Bridge Connector,Healthcare,Series B,45.0,North America,5,-0.26041666666666674,2.40625,once,tiny
Wejo,Transportation,Post-IPO,376.0,Europe,2,-0.45833333333333326,-0.9444444444444446,once,medium
MariaDB,Data,Post-IPO,272.0,North America,2,-0.2195121951219512,-0.9512195121951219,once,medium
Bullhorn,Sales,Acquired,32.0,North America,2,-0.41666666666666674,-0.4166666666666665,once,tiny
Hippo Insurance,Finance,Post-IPO,1300.0,North America,3,0.7098765432098766,-0.006172839506172867,twice,large
Loom,Product,Series C,203.0,North America,3,0.8095238095238095,0.04761904761904745,twice,medium
Akamai,Security,Post-IPO,35.0,North America,2,0.7818181818181817,-0.16363636363636358,twice,tiny
Better.com,Real Estate,Unknown,905.0,North America,3,0.605263157894737,-0.5263157894736841,twice,large
Citrine Informatics,Data,Series C,64.0,North America,2,-0.2195121951219512,-0.9512195121951219,once,small
Bluprint,Education,Acquired,108.0,North America,5,-0.5277777777777777,2.138888888888889,once,small
Docly,Healthcare,Seed,15.5,Europe,5,-0.26041666666666674,2.40625,once,tiny
Quandoo,Food,Acquired,39.0,Europe,4,-0.3787878787878789,1.0909090909090908,once,tiny
Pitch,Marketing,Series B,138.0,Europe,3,0.7142857142857142,-0.18181818181818166,twice,small
Fate Therapeutics,Healthcare,Post-IPO,1200.0,North America,2,-0.26041666666666674,-0.59375,once,large
FanClash,Consumer,Series B,50.0,Asia,2,-0.3833333333333333,-0.4833333333333334,once,tiny
Tomorrow,Finance,Unknown,29.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,tiny
Beam Benefits,Healthcare,Series E,168.0,North America,2,-0.26041666666666674,-0.59375,once,small
FrontRow,Education,Series A,17.0,Asia,3,0.4722222222222223,0.13888888888888884,twice,tiny
Mozilla,Consumer,Unknown,2.3,North America,5,0.6166666666666667,2.5166666666666666,twice,tiny
Treehouse,Education,Series B,12.0,North America,4,-0.5277777777777777,1.1388888888888888,once,tiny
Jama,Product,Unknown,233.0,North America,5,-0.19047619047619047,2.0476190476190474,once,medium
ShopBack,Retail,Series F,355.0,Asia,1,-0.32978723404255317,-1.8829787234042552,once,medium
NS8,Data,Series A,157.9,North America,5,-0.2195121951219512,2.048780487804878,once,small
Instacart,Food,Post-IPO,2900.0,North America,1,-0.3787878787878789,-1.9090909090909092,once,large
WeWork,Real Estate,Series H,19500.0,Asia,5,-0.39473684210526305,1.473684210526316,once,large
Moovit,Transportation,Acquired,131.0,Asia,1,-0.45833333333333326,-1.9444444444444446,once,small
App Annie,Data,Unknown,156.0,North America,5,-0.2195121951219512,2.048780487804878,once,small
Carbon Health,Healthcare,Series D,522.0,North America,3,0.7395833333333333,0.40625,twice,large
Storytel,Media,Post-IPO,312.0,Europe,3,1.564102564102564,0.3333333333333335,thrice,medium
Chrono24,Retail,Series C,205.0,Europe,2,0.6702127659574468,-0.8829787234042552,twice,medium
Olo,Food,Post-IPO,184.0,North America,2,-0.3787878787878789,-0.9090909090909092,once,medium
Xiaohongshu,Consumer,Series E,917.0,Asia,3,-0.3833333333333333,0.5166666666666666,once,large
ScaleFactor,Finance,Series C,103.0,North America,5,-0.2901234567901234,1.9938271604938271,once,small
Chainalysis,Crypto,Series F,536.0,North America,2,0.7380952380952381,-0.2857142857142856,twice,large
Dunzo,Food,Unknown,458.0,Asia,2,1.621212121212121,-0.9090909090909092,thrice,medium
Zoom,Other,Post-IPO,276.0,North America,2,0.6301369863013699,-0.06849315068493134,twice,medium
Palantir,Data,Post-IPO,3000.0,North America,2,-0.2195121951219512,-0.9512195121951219,once,large
Kitopi,Food,Series C,804.0,Asia,3,-0.3787878787878789,0.09090909090909083,once,large
Flockjay,Education,Series A,14.0,North America,4,-0.5277777777777777,1.1388888888888888,once,tiny
Avo,Food,Series B,45.0,Asia,3,-0.3787878787878789,0.09090909090909083,once,tiny
NSO,Security,Seed,1.0,Asia,3,-0.21818181818181825,0.8363636363636364,once,tiny
GoDaddy,Marketing,Post-IPO,800.0,North America,2,-0.2857142857142858,-1.1818181818181817,once,large
Zumper,Real Estate,Series D,178.0,North America,3,-0.39473684210526305,-0.5263157894736841,once,medium
Monzo,Finance,Series F,324.0,Europe,5,-0.2901234567901234,1.9938271604938271,once,medium
GoHealth,Healthcare,Post-IPO,75.0,North America,3,-0.26041666666666674,0.40625,once,small
BitOasis,Crypto,Series B,30.0,Asia,3,-0.26190476190476186,0.7142857142857144,once,tiny
BioMarin,Healthcare,Post-IPO,585.0,North America,3,-0.26041666666666674,0.40625,once,large
Salesloft,Sales,Acquired,245.0,North America,2,-0.41666666666666674,-0.4166666666666665,once,medium
Minted,Retail,Series E,297.0,North America,5,-0.32978723404255317,2.117021276595745,once,medium
Vroom,Transportation,Post-IPO,1300.0,North America,3,2.541666666666667,0.05555555555555536,four_plus,large
EasyPost,Logistics,Series A,12.0,North America,5,-0.19999999999999996,2.0,once,tiny
Bizzabo,Marketing,Series E,194.0,North America,3,0.7142857142857142,-0.18181818181818166,twice,medium
Knock,Real Estate,Unknown,654.0,North America,3,-0.39473684210526305,-0.5263157894736841,once,large
Tonkean,Other,Series B,83.0,North America,3,-0.36986301369863006,0.9315068493150687,once,small
Crypto.com,Crypto,Unknown,156.0,Asia,3,0.7380952380952381,0.7142857142857144,twice,small
BlissClub,Retail,Series A,20.0,Asia,1,-0.32978723404255317,-1.8829787234042552,once,tiny
Tome Biosciences,Healthcare,Series A,213.0,North America,1,-0.26041666666666674,-1.59375,once,medium
People.ai,Marketing,Series C,100.0,North America,5,-0.2857142857142858,1.8181818181818183,once,small
PayScale,HR,Acquired,33.0,North America,2,-0.2058823529411764,-1.2352941176470589,once,tiny
Fittr,Fitness,Series A,13.0,Asia,2,-0.3076923076923077,-1.7692307692307692,once,tiny
Tamara Mellon,Retail,Series C,90.0,North America,5,-0.32978723404255317,2.117021276595745,once,small
Ola,Transportation,Series J,5000.0,Asia,5,0.5416666666666667,2.0555555555555554,twice,large
Smashing,Consumer,Seed,3.0,North America,0,-0.3833333333333333,-2.4833333333333334,once,tiny
Pristyn Care,Healthcare,Series E,177.0,Asia,2,0.7395833333333333,-0.59375,twice,medium
Workmotion,HR,Series B,76.0,Europe,3,-0.2058823529411764,-0.23529411764705888,once,small
Infarm,Other,Series D,604.0,Europe,3,0.6301369863013699,0.9315068493150687,twice,large
Boxed,Retail,Post-IPO,365.0,North America,2,-0.32978723404255317,-0.8829787234042552,once,medium
Ghost Autonomy,Transportation,Series E,247.0,North America,1,-0.45833333333333326,-1.9444444444444446,once,medium
SchoolMint,Education,Acquired,8.0,North America,2,-0.5277777777777777,-0.8611111111111112,once,tiny
Doma,Finance,Post-IPO,679.0,North America,3,1.7098765432098766,-0.006172839506172867,thrice,large
Pear Therapeutics ,Healthcare,Post-IPO,409.0,North America,3,-0.26041666666666674,0.40625,once,medium
The Grommet,Retail,Acquired,5.0,North America,3,-0.32978723404255317,0.1170212765957448,once,tiny
Zebra Technologies,Manufacturing,Post-IPO,2000.0,North America,2,-0.19999999999999996,0.8,once,large
Vesalius Therapeutics,Healthcare,Series B,75.0,North America,3,-0.26041666666666674,0.40625,once,small
Mixpanel,Data,Series B,77.0,North America,5,-0.2195121951219512,2.048780487804878,once,small
SirionLabs,Legal,Series D,171.0,North America,2,-0.1428571428571428,-0.5714285714285716,once,medium
Enovix,Energy,Post-IPO,516.0,North America,1,-0.23076923076923084,-0.6923076923076923,once,large
SIRCLO,Retail,Series B,92.0,Asia,3,-0.32978723404255317,0.1170212765957448,once,small
Humble Games,Media,Acquired,4.0,North America,1,-0.4358974358974359,-1.6666666666666665,once,tiny
Lunchbox,Food,Series B,72.0,North America,3,-0.3787878787878789,0.09090909090909083,once,small
Pomelo Fashion,Retail,Unknown,120.0,Asia,3,-0.32978723404255317,0.1170212765957448,once,small
Wave Sports and Entertainment,Media,Series B,65.0,North America,3,-0.4358974358974359,0.3333333333333335,once,small
Redbox,Media,Acquired,51.0,North America,1,-0.4358974358974359,-1.6666666666666665,once,tiny
ActiveFence,Security,Series B,100.0,North America,0,-0.21818181818181825,-2.1636363636363636,once,small
REE Automotive,Transportation,Post-IPO,317.0,Asia,2,-0.45833333333333326,-0.9444444444444446,once,medium
Wonderschool,Education,Series A,24.0,North America,5,-0.5277777777777777,2.138888888888889,once,tiny
Lilium,Aerospace,Post-IPO,1400.0,Europe,1,-0.125,-1.375,once,large
Careem,Transportation,Acquired,771.0,Asia,5,-0.45833333333333326,2.0555555555555554,once,large
Bright Money,Finance,Series A,31.0,Asia,3,-0.2901234567901234,-0.006172839506172867,once,tiny
Coterie Insurance,Finance,Series B,70.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,small
Kry,Healthcare,Series D,568.0,Europe,3,0.7395833333333333,0.40625,twice,large
Klarna,Finance,Unknown,3700.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,large
Hyperscience,Data,Series E,289.0,North America,3,-0.2195121951219512,0.04878048780487809,once,medium
GoBolt,Logistics,Series C,178.0,North America,2,-0.19999999999999996,-1.0,once,medium
Iflix,Consumer,Unknown,348.0,Asia,5,-0.3833333333333333,2.5166666666666666,once,medium
Meesho,Retail,Series D,1100.0,Asia,2,0.6702127659574468,-0.8829787234042552,twice,large
AlayaCare,Healthcare,Series D,293.0,North America,3,-0.26041666666666674,0.40625,once,medium
Divvy Homes,Real Estate,Series B,180.0,North America,3,-0.39473684210526305,-0.5263157894736841,once,medium
Descartes Labs,Data,Series B,58.0,North America,5,-0.2195121951219512,2.048780487804878,once,tiny
MediaMath,Marketing,Private Equity,607.0,North America,5,-0.2857142857142858,1.8181818181818183,once,large
Komodo Health,Healthcare,Series C,514.0,North America,5,0.7395833333333333,2.40625,twice,large
Vendr,Other,Series B,216.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,medium
Applied Material,Manufacturing,Post-IPO,2100.0,North America,0,-0.19999999999999996,-1.2,once,large
Nuri,Finance,Series B,42.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,tiny
Rover,Consumer,Series G,310.0,North America,5,-0.3833333333333333,2.5166666666666666,once,medium
Lendis,Other,Series A,90.0,Europe,3,-0.36986301369863006,0.9315068493150687,once,small
Zscaler,Security,Post-IPO,148.0,North America,2,-0.21818181818181825,-0.16363636363636358,once,small
Juni,Finance,Unknown,281.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,medium
Aya,Finance,Seed,3.0,North America,5,-0.2901234567901234,1.9938271604938271,once,tiny
Foxtrot,Food,Series C,166.0,North America,3,-0.3787878787878789,0.09090909090909083,once,small
Netflix,Media,Post-IPO,121900.0,North America,3,0.5641025641025641,0.3333333333333335,twice,large
WeTransfer,Other,Acquired,64.0,Europe,1,0.6301369863013699,-1.0684931506849313,twice,small
Hubba,Retail,Series B,61.0,North America,4,-0.32978723404255317,1.1170212765957448,once,tiny
Clinc,Support,Series B,59.0,North America,5,-0.5294117647058822,2.0588235294117645,once,tiny
