company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
eBay,Retail,Post-IPO,1200.0,North America,2,0.6702127659574468,-0.8829787234042552,twice,large
ResearchGate,Other,Series D,87.0,Europe,3,-0.36986301369863006,0.9315068493150687,once,small
The Predictive Index,HR,Acquired,65.0,North America,5,-0.2058823529411764,1.7647058823529411,once,small
Clearbanc,Finance,Series B,119.0,North America,5,-0.2901234567901234,1.9938271604938271,once,small
Lightricks,Consumer,Series D,335.0,Asia,3,1.6166666666666667,0.5166666666666666,thrice,medium
#Paid,Marketing,Series B,21.0,North America,2,-0.2857142857142858,-1.1818181818181817,once,tiny
Flyhomes,Real Estate,Series C,310.0,North America,3,0.605263157894737,-0.5263157894736841,twice,medium
Daily Harvest,Food,Series D,120.0,North America,3,-0.3787878787878789,0.09090909090909083,once,small
PaisaBazaar,Finance,Series G,496.0,Asia,5,-0.2901234567901234,1.9938271604938271,once,large
Houzz,Consumer,Series E,613.0,North America,5,0.6166666666666667,2.5166666666666666,twice,large
Iris Nova,Food,Seed,15.0,North America,5,-0.3787878787878789,2.090909090909091,once,tiny
MyBambu,Finance,Unknown,15.0,North America,0,-0.2901234567901234,-3.006172839506173,once,tiny
Huobi,Crypto,Unknown,2.0,Asia,3,0.7380952380952381,0.7142857142857144,twice,tiny
Tufin,Security,Acquired,21.0,North America,3,-0.21818181818181825,0.8363636363636364,once,tiny
Juniper Networks,Hardware,Post-IPO,39.0,North America,2,-0.16666666666666674,0.6666666666666667,once,tiny
Procore,Construction,Unknown,649.0,North America,5,-0.5,1.0,once,large
Soluto,Support,Acquired,18.0,Asia,3,-0.5294117647058822,0.0588235294117645,once,tiny
Project44,Logistics,Unknown,817.0,North America,3,0.8,0.0,twice,large
Stedi,Product,Series B,75.0,North America,3,-0.19047619047619047,0.04761904761904745,once,small
Preply,Education,Series C,100.0,North America,3,-0.5277777777777777,0.13888888888888884,once,small
Dropp,Retail,Unknown,2.0,Europe,2,-0.32978723404255317,-0.8829787234042552,once,tiny
Amazon,Retail,Post-IPO,8100.0,North America,3,1.6702127659574468,0.1170212765957448,thrice,large
Freightos,Logistics,Post-IPO,118.0,North America,2,-0.19999999999999996,-1.0,once,small
Fireblocks,Crypto,Series E,1000.0,North America,1,0.7380952380952381,-1.2857142857142856,twice,large
Casper,Retail,Post-IPO,339.0,North America,5,-0.32978723404255317,2.117021276595745,once,medium
Pagaya,Finance,Post-IPO,2000.0,Asia,1,0.7098765432098766,-2.006172839506173,twice,large
Citrix,Infrastructure,Acquired,20.0,North America,1,-0.4375,-2.1875,once,tiny
Sourcegraph,Product,Series D,248.0,North America,3,-0.19047619047619047,0.04761904761904745,once,medium
CrowdStreet,Real Estate,Series C,24.0,North America,5,-0.39473684210526305,1.473684210526316,once,tiny
Glossier,Retail,Series E,266.0,North America,5,1.6702127659574468,2.117021276595745,thrice,medium
N26,Finance,Series D,1700.0,Europe,5,0.7098765432098766,1.9938271604938271,twice,large
